Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1937,-.03,.12,-.18,.20,-.06,-.22,1.23,.02,-.01,.00,-.12,-.19,-.26,.36
1938,-.01,.16,-.19,.39,-.24,-.10,1.50,.38,.04,-.18,-.29,-.06,-.11,-.87
1939,-.02,.09,-.13,.23,-.13,-.12,.56,.28,.09,-.12,-.14,-.04,-.19,-1.61
1940,.12,.18,.09,.11,.27,-.07,1.00,-.02,-.08,.27,.28,.03,-.20,-.06
1941,.18,.23,.16,.02,.48,-.05,.00,-.10,.09,.54,.43,.04,-.15,-.47
1942,.06,.13,.00,.13,.07,-.01,.73,-.06,.07,.11,.02,.06,-.05,-.90
1943,.08,.18,-.02,.37,-.10,.04,1.42,.27,.11,-.11,-.08,.07,-.01,1.13
1944,.20,.27,.14,.38,.18,.05,1.18,.46,.10,.10,.25,.19,-.10,-.92
1945,.09,.10,.08,.11,.16,-.03,.63,-.03,.04,.09,.23,.04,.00,-1.75
1946,-.08,.02,-.18,.06,-.06,-.24,-.02,-.05,.17,-.03,-.08,-.22,-.24,-.14
1947,-.03,.08,-.14,.16,-.07,-.16,1.07,-.13,.05,-.04,-.10,-.19,-.08,-.19
1948,-.11,-.02,-.20,.13,-.19,-.24,.12,.31,.01,-.23,-.15,-.19,-.19,-1.35
1949,-.11,-.03,-.20,.11,-.20,-.23,.20,.16,.05,-.24,-.16,-.17,-.15,-1.95
1950,-.18,-.15,-.21,-.05,-.30,-.14,.20,-.31,.04,-.31,-.29,-.06,-.16,-.87
1951,-.07,.05,-.19,.08,-.07,-.23,.09,.01,.12,-.01,-.13,-.22,-.16,-.69
1952,.01,.06,-.04,.11,.01,-.09,.27,-.09,.19,-.02,.03,-.10,-.02,-.49
1953,.08,.24,-.08,.35,.07,-.18,1.02,.35,.14,.08,.06,-.08,-.24,-1.09
1954,-.13,-.02,-.26,.07,-.22,-.22,.80,-.21,.01,-.14,-.29,-.18,-.20,-.80
1955,-.14,-.09,-.21,.05,-.34,-.06,-.24,-.11,.23,-.30,-.39,-.16,-.08,1.22
1956,-.19,-.23,-.16,-.20,-.33,.00,.01,-.47,-.09,-.29,-.38,-.14,.02,.76
1957,.05,.04,.05,.03,.07,.02,.09,.22,-.11,.05,.10,-.09,-.02,.48
1958,.06,.15,-.02,.08,.20,-.14,-.17,.15,.12,.26,.15,-.08,-.08,-.47
1959,.03,.12,-.06,.16,.07,-.15,.48,.18,.05,.07,.07,-.03,-.26,-.33
1960,-.02,.08,-.12,.09,.02,-.19,.34,-.07,.11,.06,-.03,-.10,-.07,-.70
1961,.06,.08,.03,.19,-.04,.06,-.15,.38,.18,-.07,.00,.14,-.17,.25
1962,.04,.13,-.06,.24,-.05,-.06,.45,.31,.14,-.05,-.05,.09,-.07,-.55
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.03
1964,-.20,-.19,-.20,-.23,-.14,-.25,-.67,-.20,-.12,-.14,-.14,-.30,-.07,-.40
1965,-.11,-.14,-.07,-.18,-.03,-.14,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.03
1966,-.06,-.02,-.09,-.14,.08,-.16,-.76,-.19,.08,.16,.00,-.24,-.14,.06
1967,-.02,.02,-.07,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.29
1968,-.08,-.07,-.09,-.11,-.06,-.08,-.33,-.02,-.09,-.02,-.10,-.14,.00,-.03
1969,.06,-.03,.15,-.29,.34,.03,-.04,-.61,-.17,.35,.32,.00,.13,-.09
1970,.03,-.04,.09,-.11,.07,.10,-.21,-.13,-.06,.07,.07,.11,.03,.26
1971,-.08,-.15,-.02,-.06,-.26,.12,-.08,.01,-.10,-.29,-.22,.03,.16,.40
1972,.01,-.17,.20,-.34,.17,.14,-.37,-.47,-.25,.07,.27,.16,-.02,.40
1973,.16,.10,.23,.11,.19,.18,.07,.27,.02,.08,.30,.22,.08,.33
1974,-.07,-.18,.03,-.14,-.20,.17,-.19,-.07,-.18,-.23,-.16,.22,-.08,.64
1975,-.01,-.05,.02,.12,-.23,.15,.10,.39,-.05,-.30,-.16,.13,.14,.25
1976,-.10,-.20,.01,-.26,-.11,.08,-.07,-.32,-.28,-.12,-.10,.10,.22,-.28
1977,.18,.12,.24,.14,.16,.25,.16,.24,.06,.10,.22,.21,.31,.24
1978,.07,.02,.11,-.03,.08,.16,-.16,.03,-.04,.11,.05,.21,.13,.03
1979,.16,.09,.25,-.03,.26,.23,-.61,.06,.09,.26,.27,.29,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.25,.02,.02,.33,.29,.35,.37,.57
1981,.32,.37,.27,.47,.18,.35,1.09,.78,.08,.22,.15,.28,.39,.56
1982,.14,.05,.22,-.08,.27,.18,-.40,.09,-.09,.25,.29,.18,.32,-.12
1983,.31,.25,.38,.22,.44,.23,.19,.69,-.07,.30,.58,.21,.41,-.02
1984,.16,.04,.27,.02,.19,.26,.36,.08,-.14,.08,.30,.16,.32,.47
1985,.12,.00,.23,-.03,.09,.30,.39,-.27,-.01,.05,.14,.30,.44,.00
1986,.18,.13,.23,.10,.23,.20,.01,.27,.03,.18,.28,.25,.25,-.10
1987,.32,.25,.41,.04,.59,.25,-.36,.13,.12,.55,.62,.32,.25,.01
1988,.39,.37,.40,.40,.38,.38,.59,.57,.24,.33,.43,.38,.20,.78
1989,.27,.27,.27,.40,.13,.33,.33,.69,.25,.07,.19,.36,.30,.30
1990,.45,.53,.37,.63,.38,.38,.58,.88,.49,.38,.37,.38,.37,.39
1991,.41,.41,.40,.47,.37,.39,.75,.66,.26,.33,.41,.31,.29,.89
1992,.22,.14,.31,.10,.29,.26,-.16,.44,-.03,.20,.37,.20,.33,.34
1993,.23,.19,.28,.13,.33,.22,.54,.29,-.11,.29,.36,.27,.39,-.32
1994,.32,.37,.26,.43,.32,.20,.34,.50,.42,.29,.35,.26,.23,-.06
1995,.45,.58,.32,.70,.43,.22,1.31,.99,.32,.41,.46,.29,.15,.15
1996,.33,.27,.39,.23,.32,.43,.77,.17,.10,.32,.33,.33,.28,1.20
1997,.47,.52,.42,.53,.52,.34,.75,.90,.23,.50,.53,.42,.36,.01
1998,.61,.71,.52,.78,.70,.33,.85,.94,.66,.60,.80,.39,.31,.19
1999,.39,.48,.29,.70,.21,.31,.39,.80,.74,.16,.26,.46,.19,.04
2000,.40,.50,.29,.70,.25,.29,.96,.80,.55,.21,.29,.42,.10,.27
2001,.54,.64,.44,.80,.43,.43,1.06,.86,.69,.41,.45,.58,.24,.32
2002,.63,.72,.54,.83,.60,.47,1.25,1.00,.58,.56,.64,.49,.32,.74
2003,.62,.75,.50,.84,.65,.38,1.50,.98,.54,.62,.67,.44,.24,.45
2004,.54,.66,.43,.73,.56,.34,.47,.96,.66,.57,.55,.48,.23,.06
2005,.68,.86,.51,1.02,.63,.42,1.98,1.22,.57,.63,.63,.49,.19,.72
2006,.64,.82,.47,.99,.56,.40,1.73,1.06,.70,.57,.56,.51,.20,.44
2007,.66,.86,.47,1.13,.47,.46,2.11,1.32,.69,.45,.49,.50,.07,1.17
2008,.55,.68,.41,.92,.39,.39,1.54,1.08,.62,.34,.43,.53,.09,.56
2009,.66,.73,.59,.78,.69,.50,1.43,.60,.69,.66,.72,.60,.15,.91
2010,.73,.90,.55,1.02,.69,.47,2.21,.87,.74,.73,.66,.63,.20,.48
2011,.61,.75,.47,.99,.38,.54,2.34,.94,.58,.39,.36,.64,.18,.98
2012,.65,.81,.48,1.04,.53,.40,2.20,.93,.74,.48,.58,.56,.19,.26
2013,.69,.80,.57,.95,.59,.55,1.56,1.05,.69,.59,.59,.63,.23,.99
2014,.75,.92,.58,1.07,.68,.52,2.04,1.12,.73,.69,.66,.72,.18,.52
2015,.90,1.18,.63,1.31,.96,.41,2.00,1.47,.99,.98,.95,.75,.18,-.34
2016,1.02,1.30,.73,1.54,1.01,.49,3.24,1.43,1.07,.96,1.07,.67,.26,.36
2017,.92,1.18,.67,1.38,.82,.59,2.51,1.37,1.04,.87,.78,.76,.35,.54
2018,.85,1.04,.66,1.25,.68,.68,2.15,1.09,1.05,.73,.63,.80,.38,.93
